"221,900.00",3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,1340,5650
"538,000.00",3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,1690,7639
"180,000.00",2,1,770,10000,1,0,0,3,6,770,0,1933,0,2720,8062
"604,000.00",4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,1360,5000
"510,000.00",3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,1800,7503
"1,225,000.00",4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,4760,101930
"257,500.00",3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,2238,6819
"291,850.00",3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,1650,9711
"229,500.00",3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,1780,8113
"323,000.00",3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,2390,7570
"662,500.00",3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,2210,8925
"468,000.00",2,1,1160,6000,1,0,0,4,7,860,300,1942,0,1330,6000
"310,000.00",3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,1780,12697
"400,000.00",3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,1370,10208
"530,000.00",5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,1360,4850
"650,000.00",4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,2140,4000
"395,000.00",3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,1890,14018
"485,000.00",4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,1610,4300
"189,000.00",2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,1060,5095
"230,000.00",3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,1280,8850
"385,000.00",4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,1400,4980
"2,000,000.00",3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,4110,20336
"285,000.00",5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,2240,7005
"252,700.00",2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,1220,8386
"329,000.00",3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,2200,6865
"233,000.00",3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,1030,4705
"937,000.00",3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,1760,3573
"667,000.00",3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,1860,3861
"438,000.00",3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,1520,6235
"719,000.00",4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,2630,6026
"580,500.00",3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,2580,3980
"280,000.00",2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,1390,1756
"687,500.00",4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,1460,5000
"535,000.00",3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,1570,5080
"322,500.00",4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,2020,8720
"696,000.00",3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,1590,3264
"550,000.00",4,1,1660,34848,1,0,0,1,5,930,730,1933,0,2160,11467
"640,000.00",4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,1730,4700
"240,000.00",4,1,1220,8075,1,0,0,2,7,890,330,1969,0,1290,7800
"605,000.00",4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,2620,11884
"625,000.00",4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,2470,5669
"775,000.00",4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,2410,30617
"861,990.00",5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,0,3625,5639
"685,000.00",3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,1580,2640
"309,000.00",3,1,1280,9656,1,0,0,4,6,920,360,1959,0,1340,8808
"488,000.00",3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,0,3050,9232
"210,490.00",3,1,990,8528,1,0,0,3,6,990,0,1966,0,1228,8840
"785,000.00",4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,0,2680,13685
"450,000.00",3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,0,970,5100
